Point,Neighbor,Distance
3,1,0.217188591966615
4,2,0.7964665120678803
5,1,0.8344634750010967
5,1,0.32804924641465905
5,2,0.5193327744120618
6,3,0.7925886813690534
6,2,0.3304978496339588
6,1,0.5445664653732059
6,3,0.7795377568348852
7,4,0.8136591941537716
7,5,0.09576426503677482
7,2,0.3976190397831819
7,1,0.6147460180007951
8,3,0.8640815881411545
8,2,0.2256969747167116
8,1,0.31454381775202883
8,5,0.3558471048233982
9,6,0.4496776346616191
9,3,0.2874031926297463
9,7,0.44708053223828553
9,4,0.5168516692760896
10,1,0.6260548772485125
10,4,0.1441427359311716
10,1,0.3957410422008425
10,2,0.6075379518964621
11,7,0.6110397047277463
11,4,0.3427043159247772
11,9,0.4040153088146279
11,8,0.42633440735379724
12,1,0.6447491635178941
12,4,0.1014594334866962
12,9,0.17569762505183298
12,10,0.24614244781731046
13,1,0.42612306290498975
13,7,0.12419161816475872
13,2,0.14321722164117753
13,5,0.2554869461443168
13,1,0.3149187279196027
14,6,0.3436202385040536
14,1,0.07918783848766142
14,2,0.24822617815734754
14,4,0.27219407905096077
15,7,0.2805981210607352
15,5,0.14404586466979913
15,6,0.17584592844321717
15,12,0.22436035269606944
15,2,0.23173293165450054
16,7,0.3474604927859259
16,2,0.2679384564869408
16,14,0.30384627520291296
16,1,0.36256113215254254
16,12,0.3923497085454682
17,13,0.43354267627245124
17,8,0.22651444687348457
17,7,0.24415192306893937
17,3,0.3363311723694867
17,12,0.3601411292260564
18,13,0.4381102521331814
18,6,0.05400526060765866
18,5,0.14439729003033436
18,14,0.2265837147690588
18,12,0.39653207151446423
19,2,0.4511314126822881
19,13,0.015359316390064732
19,1,0.09342265352664673
19,4,0.2585673207873348
20,2,0.26108115978283536
20,16,0.09630267381008016
20,7,0.19961242057846781
20,12,0.29745101298149584
20,8,0.32037953138165237
21,3,0.37605003997284336
21,3,0.02651092522226757
21,8,0.31301430279222076
21,16,0.35135903190385626
21,19,0.3852921388756851
22,7,0.5821804918884419
22,4,0.13829586945313407
22,18,0.17498384139689926
22,9,0.18234723022684246
23,13,0.1835266007913556
23,7,0.011048951357281135
23,12,0.13242767333179778
23,19,0.20019239539288722
23,2,0.22813793605150495
24,16,0.2404366822844017
24,1,0.30513605546729616
24,21,0.333584780202291
24,13,0.365277388547536
24,18,0.37309901815423124
25,15,0.40522601292079174
25,11,0.09354279453593717
25,4,0.13789754199827384
25,10,0.22966670637458364
26,9,0.25798838835072524
26,18,0.00974077234915601
26,13,0.02251174494549345
26,1,0.10166541428497466
26,21,0.17889896087733628
27,9,0.10007188492510903
27,21,0.19936160732368963
27,4,0.22453676704336206
27,11,0.2744042065459628
28,1,0.14601336306939416
28,2,0.20052492689086948
28,13,0.22393515032919845
28,15,0.22608475338076345
29,18,0.2387508283691505
29,5,0.03259334451007752
29,6,0.124419985113429
29,14,0.1282246481035633
29,17,0.17515783867412427
30,12,0.22309013327477142
30,4,0.14372188183156698
30,25,0.14901800455966377
30,18,0.15460793963724076
31,21,0.1626671388145333
31,29,0.1432550425415104
31,25,0.15441775057296417
31,18,0.16415847237882505
31,13,0.1736735628672593
32,22,0.19224037250564863
32,15,0.1202959350522875
32,14,0.18454186350401725
32,2,0.1950337393319164
32,27,0.2533603129692692
33,12,0.29301853568673725
33,15,0.02284458310362492
33,31,0.1138658180546185
33,27,0.20479410837340048
33,2,0.24775729470630894
34,14,0.2983898496871622
34,4,0.018046521328323035
34,11,0.08951983866388938
34,9,0.13199316466037167
35,24,0.1382432598009967
35,3,0.10314567748281243
35,20,0.12456861695046083
35,8,0.1983112660312589
35,16,0.2396581976397426
36,19,0.2928023774564448
36,22,0.11497587031333917
36,19,0.11679483795451549
36,7,0.12021924352780598
36,16,0.12734187635841343
37,30,0.1878274525607771
37,19,0.08096139189780632
37,35,0.13115677257640265
37,7,0.1570342741665504
37,22,0.1618183586054863
38,16,0.17260414905621024
38,9,0.08614305619134245
38,26,0.09571354946495668
38,21,0.10855250825183749
38,33,0.14057569830474734
39,4,0.14260333885487378
39,8,0.11257045046967258
39,34,0.11805033089591109
39,3,0.18465285234918666
39,20,0.21110201733341885
40,16,0.26959800573022796
40,25,0.059344004634528866
40,18,0.06885223551304896
40,13,0.08086922689578362
40,30,0.0976389706817272
41,29,0.1130786124117177
41,19,0.06094691269050766
41,16,0.10840215767364651
41,36,0.12477882416841733
41,35,0.17442296056941217
42,34,0.24591112224559716
42,35,0.02168258127972432
42,22,0.1172824710809833
42,7,0.12418536065952404
42,16,0.13409005108513433
43,19,0.13596733317984738
43,28,0.08735685471725918
43,14,0.09159746786830654
43,5,0.11827410721583215
43,12,0.15195155581702074
44,6,0.19532046631718109
44,2,0.023216065061175243
44,12,0.16633297752045317
44,27,0.17799811141132124
44,31,0.18698333016019159
45,1,0.20435326618339464
45,30,0.16161818234653036
45,41,0.1734750273201195
45,16,0.18840088252187145
45,35,0.19096787083654973
46,8,0.2186609357773059
46,36,0.10843994035582666
46,7,0.13107223911531657
46,12,0.14020762662089684
46,22,0.141302323623243
47,19,0.18790809783294718
47,23,0.10223777063663032
47,26,0.3361900192584504
47,27,0.36051727032933706
47,37,0.36095809007314755
48,21,0.371952537450845
48,44,0.05529479379235512
48,30,0.17189450771016082
48,29,0.20379715797717873
48,24,0.21016642068946373
49,41,0.2234118223808603
49,14,0.05724189156643271
49,31,0.135652928189887
49,42,0.14313077137977953
49,28,0.18484280534765335
50,5,0.19822435631689997
50,8,0.08712606816850324
50,38,0.12446722999857014
50,34,0.14910868895102478
50,16,0.15104326509156288
51,44,0.21180532977321181
51,30,0.04002211269130145
51,39,0.12590217844128887
51,44,0.12594597245019915
51,47,0.13205387253964612
52,29,0.13857013446966404
52,36,0.06707403467328
52,19,0.11788021024477503
52,45,0.1268924212166507
52,40,0.13192290893340625
53,35,0.19704127550019299
53,1,0.07034769518717923
53,13,0.11602512993141488
53,18,0.13106902553281385
53,27,0.13341947806270796
54,43,0.13489621731534476
54,21,0.0535664611621458
54,18,0.13541112576692355
54,13,0.14097993794215952
54,25,0.1413188809374227
55,37,0.15505737404308273
55,37,0.04520321526667613
55,26,0.05828468185378781
55,9,0.09872133912765874
55,21,0.14154650031402552
56,53,0.18043100991849245
56,23,0.027124688689956693
56,46,0.07635099691321456
56,27,0.28417687973543715
56,53,0.30862503085069554
57,54,0.32086855593562114
57,29,0.0703311199835555
57,39,0.09751422327815636
57,25,0.10302313440396182
57,53,0.10469343456527685
58,18,0.10493988031947608
58,32,0.04699510479716172
58,15,0.06562688083777621
58,31,0.08095132475091274
58,43,0.18609760672958248
59,27,0.1898900774950636
59,12,0.08283902715793355
59,2,0.08946627723196393
59,43,0.1107156720210313
59,42,0.12702646890889885
60,14,0.1685539121660264
60,27,0.024979802118806523
60,52,0.12021512341868397
60,1,0.1447209207711404
